operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,26.9,0.5148038864135742,0.0026192665100097656,136592
encryption,2,100KB file,16.7,0.4963493347167969,0.0020880699157714844,136592
encryption,3,100KB file,26.9,0.4955406188964844,0.0019652843475341797,136592
encryption,4,100KB file,29.2,0.4953193664550781,0.0027856826782226562,136592
encryption,5,100KB file,28.1,0.4951057434082031,0.002054929733276367,136592
encryption,6,100KB file,56.0,0.4949226379394531,0.0021059513092041016,136592
encryption,7,100KB file,12.5,0.4947547912597656,0.0032248497009277344,136592
encryption,8,100KB file,16.7,0.4945716857910156,0.003172636032104492,136592
encryption,9,100KB file,37.5,0.4941291809082031,0.0021848678588867188,136592
encryption,10,100KB file,64.0,0.4937248229980469,0.0019173622131347656,136592
encryption,11,100KB file,28.1,0.4937095642089844,0.0019190311431884766,136592
encryption,12,100KB file,16.7,0.4936943054199219,0.004022121429443359,136592
encryption,13,100KB file,15.4,0.4936790466308594,0.0019855499267578125,136592
encryption,14,100KB file,20.8,0.4936637878417969,0.001971006393432617,136592
encryption,15,100KB file,18.2,0.4936332702636719,0.002856016159057617,136592
encryption,16,100KB file,4.2,0.4936180114746094,0.0020515918731689453,136592
encryption,17,100KB file,7.7,0.4936027526855469,0.0018227100372314453,136592
encryption,18,100KB file,18.8,0.4935874938964844,0.0019435882568359375,136592
encryption,19,100KB file,16.0,0.4935722351074219,0.0029566287994384766,136592
encryption,20,100KB file,18.5,0.4935569763183594,0.0018236637115478516,136592
encryption,21,100KB file,16.7,0.4935417175292969,0.0019621849060058594,136592
encryption,22,100KB file,52.0,0.4935264587402344,0.0019915103912353516,136592
encryption,23,100KB file,16.0,0.4935111999511719,0.005151987075805664,136592
encryption,24,100KB file,6.5,0.4935035705566406,0.0019843578338623047,136592
encryption,25,100KB file,4.8,0.4934959411621094,0.0020461082458496094,136592
encryption,26,100KB file,8.3,0.4934883117675781,0.002092599868774414,136592
encryption,27,100KB file,20.8,0.4934883117675781,0.003617525100708008,136592
encryption,28,100KB file,8.0,0.4934883117675781,0.0018227100372314453,136592
encryption,29,100KB file,9.1,0.4934883117675781,0.0020294189453125,136592
encryption,30,100KB file,17.2,0.4934883117675781,0.002469301223754883,136592
encryption,31,100KB file,16.7,0.4934883117675781,0.00177764892578125,136592
encryption,32,100KB file,3.6,0.4934883117675781,0.001974821090698242,136592
encryption,33,100KB file,29.2,0.4934883117675781,0.0018458366394042969,136592
encryption,34,100KB file,17.4,0.4934883117675781,0.004335880279541016,136592
encryption,35,100KB file,1.0,0.4934883117675781,0.0020155906677246094,136592
encryption,36,100KB file,13.3,0.4934883117675781,0.0020406246185302734,136592
encryption,37,100KB file,4.2,0.4934883117675781,0.0019462108612060547,136592
encryption,38,100KB file,1.0,0.4934883117675781,0.002016305923461914,136592
encryption,39,100KB file,16.7,0.4934883117675781,0.0019800662994384766,136592
encryption,40,100KB file,8.0,0.4934883117675781,0.0020301342010498047,136592
encryption,41,100KB file,21.2,0.4934883117675781,0.0033054351806640625,136592
encryption,42,100KB file,44.0,0.4934883117675781,0.001964569091796875,136592
encryption,43,100KB file,10.3,0.4934883117675781,0.0019617080688476562,136592
encryption,44,100KB file,1.0,0.4934883117675781,0.0023860931396484375,136592
encryption,45,100KB file,13.0,0.4934883117675781,0.001882791519165039,136592
encryption,46,100KB file,4.2,0.4934883117675781,0.002039194107055664,136592
encryption,47,100KB file,4.0,0.4934883117675781,0.0020029544830322266,136592
encryption,48,100KB file,10.3,0.4934883117675781,0.002050161361694336,136592
