operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,1MB file,11.1,3.3633642196655273,0.010467000000062399,1398176
encryption,2,1MB file,10.3,3.3420276641845703,0.009926499999892258,1398176
encryption,3,1MB file,3.7,3.341279983520508,0.01083569999991596,1398176
encryption,4,1MB file,12.5,3.341012954711914,0.010588099999949918,1398176
encryption,5,1MB file,20.0,3.340768814086914,0.010023499999988417,1398176
encryption,6,1MB file,4.2,3.340555191040039,0.01471289999972214,1398176
encryption,7,1MB file,18.8,3.3403568267822266,0.01008559999991121,1398176
encryption,8,1MB file,38.5,3.340127944946289,0.010029299999587238,1398176
encryption,9,1MB file,3.8,3.3396549224853516,0.009795300000405405,1398176
encryption,10,1MB file,3.8,3.3392200469970703,0.009826000000430213,1398176
encryption,11,1MB file,1.0,3.339174270629883,0.010431200000311946,1398176
encryption,12,1MB file,22.6,3.339113235473633,0.010496799999600626,1398176
encryption,13,1MB file,8.0,3.3390674591064453,0.010466199999427772,1398176
encryption,14,1MB file,8.0,3.339021682739258,0.010392700000011246,1398176
encryption,15,1MB file,16.0,3.338968276977539,0.009939200000189885,1398176
encryption,16,1MB file,7.7,3.3389530181884766,0.009815299999900162,1398176
encryption,17,1MB file,8.0,3.338937759399414,0.010470899999745598,1398176
encryption,18,1MB file,1.0,3.3389225006103516,0.010845700000572833,1398176
encryption,19,1MB file,16.7,3.338907241821289,0.010806199999933597,1398176
encryption,20,1MB file,8.3,3.3388919830322266,0.009975200000553741,1398176
encryption,21,1MB file,4.3,3.338876724243164,0.009850699999333301,1398176
encryption,22,1MB file,1.0,3.3388614654541016,0.009912299999996321,1398176
encryption,23,1MB file,18.8,3.338846206665039,0.009978200000659854,1398176
encryption,24,1MB file,1.0,3.338838577270508,0.010492499999600113,1398176
encryption,25,1MB file,12.9,3.3388309478759766,0.010103399999934481,1398176
encryption,26,1MB file,1.0,3.3388233184814453,0.009959999999409774,1398176
encryption,27,1MB file,19.4,3.3388233184814453,0.010238900000331341,1398176
encryption,28,1MB file,1.0,3.3388233184814453,0.00974190000033559,1398176
encryption,29,1MB file,19.2,3.3388233184814453,0.009551099999953294,1398176
encryption,30,1MB file,3.7,3.3388233184814453,0.010266999999657855,1398176
encryption,31,1MB file,3.8,3.3388233184814453,0.01030590000027587,1398176
encryption,32,1MB file,1.0,3.3388233184814453,0.010308400000212714,1398176
encryption,33,1MB file,9.4,3.3388233184814453,0.009865799999715819,1398176
encryption,34,1MB file,1.0,3.3388233184814453,0.009800999999242777,1398176
encryption,35,1MB file,15.4,3.3388233184814453,0.010092200000144658,1398176
encryption,36,1MB file,1.0,3.3388233184814453,0.010212600000159,1398176
encryption,37,1MB file,10.0,3.3388233184814453,0.01032020000002376,1398176
encryption,38,1MB file,4.2,3.3388233184814453,0.010681499999918742,1398176
encryption,39,1MB file,4.2,3.3388233184814453,0.010234500000478874,1398176
encryption,40,1MB file,9.1,3.3388233184814453,0.009900000000016007,1398176
encryption,41,1MB file,1.0,3.3388233184814453,0.009953300000233867,1398176
encryption,42,1MB file,12.0,3.3388233184814453,0.009703300000182935,1398176
encryption,43,1MB file,6.5,3.3388233184814453,0.010502400000405032,1398176
encryption,44,1MB file,11.5,3.3388233184814453,0.010100399999828369,1398176
encryption,45,1MB file,1.0,3.3388233184814453,0.010216499999842199,1398176
encryption,46,1MB file,9.4,3.3388233184814453,0.010073999999804073,1398176
encryption,47,1MB file,10.0,3.3388233184814453,0.009969900000214693,1398176
encryption,48,1MB file,1.0,3.3388233184814453,0.009972900000320806,1398176
encryption,49,1MB file,10.3,3.3388233184814453,0.010116000000380154,1398176
encryption,50,1MB file,3.6,3.3388233184814453,0.010640500000590691,1398176
encryption,51,1MB file,9.7,3.3388233184814453,0.009895000000142318,1398176
encryption,52,1MB file,9.7,3.3388233184814453,0.010026299999481125,1398176
encryption,53,1MB file,1.0,3.3388233184814453,0.009656799999902432,1398176
encryption,54,1MB file,1.0,3.3388233184814453,0.00998639999943407,1398176
encryption,55,1MB file,17.9,3.3388233184814453,0.010491999999430845,1398176
encryption,56,1MB file,16.7,3.3388233184814453,0.010223000000223692,1398176
encryption,57,1MB file,9.4,3.3388233184814453,0.010463999999956286,1398176
encryption,58,1MB file,16.7,3.3388233184814453,0.009700900000098045,1398176
encryption,59,1MB file,3.2,3.3388233184814453,0.009773800000402844,1398176
encryption,60,1MB file,3.4,3.3388233184814453,0.010766200000034587,1398176
encryption,61,1MB file,10.0,3.3388233184814453,0.010198300000411109,1398176
encryption,62,1MB file,1.0,3.3388233184814453,0.009774700000889425,1398176
encryption,63,1MB file,32.3,3.3388233184814453,0.009794200000214914,1398176
encryption,64,1MB file,3.8,3.3388233184814453,0.010314699999980803,1398176
encryption,65,1MB file,6.1,3.3388233184814453,0.010265699999763456,1398176
encryption,66,1MB file,3.8,3.3388233184814453,0.010469499999999243,1398176
encryption,67,1MB file,21.2,3.3388233184814453,0.010103600000547885,1398176
encryption,68,1MB file,1.0,3.3388233184814453,0.009812999999667227,1398176
encryption,69,1MB file,18.5,3.3388233184814453,0.00979040000038367,1398176
encryption,70,1MB file,3.3,3.3388233184814453,0.010239199999887205,1398176
encryption,71,1MB file,20.6,3.3388233184814453,0.01081360000080167,1398176
encryption,72,1MB file,1.0,3.3388233184814453,0.010028100000454288,1398176
encryption,73,1MB file,17.9,3.3388233184814453,0.009684600000582577,1398176
encryption,74,1MB file,8.0,3.3388233184814453,0.010523999999350053,1398176
