operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,1MB file,9.4,3.3633642196655273,0.010388900000180001,1398176
encryption,2,1MB file,11.5,3.3420276641845703,0.010297499999978754,1398176
encryption,3,1MB file,13.0,3.341279983520508,0.013429399999949965,1398176
encryption,4,1MB file,63.0,3.341012954711914,0.011422800000218558,1398176
encryption,5,1MB file,18.5,3.340768814086914,0.011381000000255881,1398176
encryption,6,1MB file,57.7,3.340555191040039,0.017007700000249315,1398176
encryption,7,1MB file,45.8,3.3403568267822266,0.01377039999988483,1398176
encryption,8,1MB file,34.4,3.340127944946289,0.01394239999990532,1398176
encryption,9,1MB file,27.3,3.3396549224853516,0.012147800000093412,1398176
encryption,10,1MB file,32.0,3.3392200469970703,0.011629200000243145,1398176
encryption,11,1MB file,11.5,3.339174270629883,0.011468499999864434,1398176
encryption,12,1MB file,4.2,3.339113235473633,0.010315099999388622,1398176
encryption,13,1MB file,3.6,3.3390674591064453,0.00999359999968874,1398176
encryption,14,1MB file,26.7,3.339021682739258,0.009909200000038254,1398176
encryption,15,1MB file,15.6,3.338968276977539,0.010717099999965285,1398176
encryption,16,1MB file,4.2,3.3389530181884766,0.016236499999649823,1398176
encryption,17,1MB file,23.1,3.338937759399414,0.010547200000473822,1398176
encryption,18,1MB file,1.0,3.3389225006103516,0.010549599999649217,1398176
encryption,19,1MB file,10.3,3.338907241821289,0.010547900000347,1398176
encryption,20,1MB file,8.0,3.3388919830322266,0.010459699999955774,1398176
encryption,21,1MB file,8.0,3.338876724243164,0.010181799999372743,1398176
encryption,22,1MB file,10.7,3.3388614654541016,0.00983170000017708,1398176
encryption,23,1MB file,12.0,3.338846206665039,0.009629200000745186,1398176
encryption,24,1MB file,4.3,3.338838577270508,0.011722700000063924,1398176
encryption,25,1MB file,10.0,3.3388309478759766,0.010402200000498851,1398176
encryption,26,1MB file,11.5,3.3388233184814453,0.011047800000596908,1398176
encryption,27,1MB file,11.5,3.3388233184814453,0.010786199999529344,1398176
encryption,28,1MB file,12.5,3.3388233184814453,0.010162399999899208,1398176
encryption,29,1MB file,1.0,3.3388233184814453,0.009926699999596167,1398176
encryption,30,1MB file,3.4,3.3388233184814453,0.009898700000121607,1398176
encryption,31,1MB file,1.0,3.3388233184814453,0.010588799999823095,1398176
encryption,32,1MB file,4.3,3.3388233184814453,0.013304600000083155,1398176
