operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,3MB file,14.3,10.030030250549316,0.02756760000011127,4194380
encryption,2,3MB file,16.7,10.00869369506836,0.027181999999811524,4194380
encryption,3,3MB file,12.5,10.007946014404297,0.02839250000033644,4194380
encryption,4,3MB file,4.2,10.007678985595703,0.028658000001087203,4194380
encryption,5,3MB file,4.2,10.007434844970703,0.02996079999866197,4194380
encryption,6,3MB file,28.1,10.007221221923828,0.02847730000030424,4194380
encryption,7,3MB file,3.6,10.007022857666016,0.027600599998550024,4194380
encryption,8,3MB file,22.6,10.006793975830078,0.026906600000074832,4194380
encryption,9,3MB file,10.0,10.00632095336914,0.02747310000086145,4194380
encryption,10,3MB file,18.2,10.00588607788086,0.027934699999605073,4194380
encryption,11,3MB file,4.2,10.005840301513672,0.03135650000149326,4194380
encryption,12,3MB file,20.7,10.005779266357422,0.03006920000007085,4194380
encryption,13,3MB file,12.0,10.005733489990234,0.029651599999851896,4194380
encryption,14,3MB file,38.2,10.005687713623047,0.03428230000099575,4194380
encryption,15,3MB file,12.5,10.005634307861328,0.031146400000579888,4194380
encryption,16,3MB file,34.5,10.005619049072266,0.029785500000798493,4194380
encryption,17,3MB file,24.0,10.005603790283203,0.030755199999475735,4194380
encryption,18,3MB file,16.7,10.00558853149414,0.03128169999945385,4194380
encryption,19,3MB file,16.0,10.005573272705078,0.031952799999999115,4194380
encryption,20,3MB file,1.0,10.005558013916016,0.029288499999893247,4194380
encryption,21,3MB file,12.5,10.005542755126953,0.027766799999881187,4194380
encryption,22,3MB file,1.0,10.00552749633789,0.027960699999312055,4194380
encryption,23,3MB file,1.0,10.005512237548828,0.029121300000042538,4194380
encryption,24,3MB file,21.2,10.005504608154297,0.029659400001037284,4194380
encryption,25,3MB file,4.2,10.005496978759766,0.029419600001347135,4194380
encryption,26,3MB file,18.8,10.005489349365234,0.028033500000674394,4194380
encryption,27,3MB file,4.2,10.005489349365234,0.028446799999073846,4194380
encryption,28,3MB file,8.3,10.005489349365234,0.02873830000135058,4194380
encryption,29,3MB file,21.2,10.005489349365234,0.02779259999988426,4194380
encryption,30,3MB file,1.0,10.005489349365234,0.02819449999878998,4194380
encryption,31,3MB file,12.5,10.005489349365234,0.027830200000607874,4194380
encryption,32,3MB file,6.9,10.005489349365234,0.027542199999516015,4194380
encryption,33,3MB file,4.0,10.005489349365234,0.028205599999637343,4194380
encryption,34,3MB file,21.2,10.005489349365234,0.027835000000777654,4194380
encryption,35,3MB file,20.8,10.005489349365234,0.030701900001076865,4194380
encryption,36,3MB file,25.0,10.005489349365234,0.029632599998876685,4194380
encryption,37,3MB file,25.0,10.005489349365234,0.030404199998883996,4194380
encryption,38,3MB file,8.0,10.005489349365234,0.03272299999844108,4194380
encryption,39,3MB file,11.1,10.005489349365234,0.02967700000044715,4194380
encryption,40,3MB file,1.0,10.005489349365234,0.029536400001234142,4194380
encryption,41,3MB file,17.2,10.005489349365234,0.027822400001241476,4194380
encryption,42,3MB file,9.4,10.005489349365234,0.0273401999984344,4194380
encryption,43,3MB file,8.3,10.005489349365234,0.029259999999339925,4194380
encryption,44,3MB file,3.6,10.005489349365234,0.029122699999788892,4194380
encryption,45,3MB file,16.0,10.005489349365234,0.028405300001395517,4194380
encryption,46,3MB file,8.3,10.005489349365234,0.028246099998796126,4194380
encryption,47,3MB file,34.4,10.005489349365234,0.03221599999960745,4194380
encryption,48,3MB file,12.5,10.005489349365234,0.032485599998835823,4194380
encryption,49,3MB file,6.5,10.005489349365234,0.032949500000540866,4194380
encryption,50,3MB file,28.0,10.005489349365234,0.04042500000105065,4194380
encryption,51,3MB file,7.7,10.005489349365234,0.033927099999345955,4194380
encryption,52,3MB file,36.1,10.005489349365234,0.03809290000026522,4194380
encryption,53,3MB file,12.5,10.005489349365234,0.03144199999951525,4194380
encryption,54,3MB file,7.7,10.005489349365234,0.03277600000001257,4194380
encryption,55,3MB file,12.5,10.005489349365234,0.031478700000661775,4194380
encryption,56,3MB file,1.0,10.005489349365234,0.03097929999967164,4194380
encryption,57,3MB file,17.2,10.005489349365234,0.027732799999284907,4194380
encryption,58,3MB file,1.0,10.005489349365234,0.029910600000221166,4194380
encryption,59,3MB file,17.2,10.005489349365234,0.02808759999970789,4194380
encryption,60,3MB file,8.3,10.005489349365234,0.028947999999218155,4194380
encryption,61,3MB file,12.0,10.005489349365234,0.02855249999993248,4194380
encryption,62,3MB file,4.2,10.005489349365234,0.028650499998548185,4194380
encryption,63,3MB file,4.2,10.005489349365234,0.02804199999991397,4194380
encryption,64,3MB file,12.9,10.005489349365234,0.030887799999618437,4194380
encryption,65,3MB file,8.0,10.005489349365234,0.028398399999787216,4194380
encryption,66,3MB file,13.8,10.005489349365234,0.027553899999475107,4194380
encryption,67,3MB file,1.0,10.005489349365234,0.02994810000018333,4194380
encryption,68,3MB file,47.1,10.005489349365234,0.02773229999911564,4194380
encryption,69,3MB file,53.1,10.005489349365234,0.04581990000042424,4194380
encryption,70,3MB file,29.2,10.005489349365234,0.034931099999084836,4194380
encryption,71,3MB file,4.2,10.005489349365234,0.037229699999443255,4194380
encryption,72,3MB file,6.9,10.005489349365234,0.03056569999898784,4194380
encryption,73,3MB file,24.0,10.005489349365234,0.030031500000404776,4194380
encryption,74,3MB file,15.6,10.005489349365234,0.031336100000771694,4194380
encryption,75,3MB file,19.2,10.005489349365234,0.03339550000055169,4194380
encryption,76,3MB file,25.0,10.005489349365234,0.03441689999999653,4194380
encryption,77,3MB file,17.2,10.005489349365234,0.032236099999863654,4194380
encryption,78,3MB file,33.3,10.005489349365234,0.03096240000013495,4194380
encryption,79,3MB file,7.1,10.005489349365234,0.03247740000006161,4194380
encryption,80,3MB file,3.8,10.005489349365234,0.04021499999907974,4194380
encryption,81,3MB file,32.0,10.005489349365234,0.029685700001209625,4194380
encryption,82,3MB file,16.0,10.005489349365234,0.03215679999993881,4194380
encryption,83,3MB file,12.0,10.005489349365234,0.032826099999510916,4194380
encryption,84,3MB file,8.7,10.005489349365234,0.030408599999645958,4194380
encryption,85,3MB file,8.3,10.005489349365234,0.029814800000167452,4194380
encryption,86,3MB file,27.6,10.005489349365234,0.0311652000000322,4194380
encryption,87,3MB file,3.4,10.005489349365234,0.03681179999875894,4194380
encryption,88,3MB file,63.6,10.005489349365234,0.03558999999950174,4194380
encryption,89,3MB file,56.0,10.005489349365234,0.04850799999985611,4194380
encryption,90,3MB file,20.0,10.005489349365234,0.032812100000228384,4194380
encryption,91,3MB file,12.1,10.005489349365234,0.031218000000080792,4194380
encryption,92,3MB file,25.0,10.005489349365234,0.030246999998780666,4194380
encryption,93,3MB file,4.2,10.005489349365234,0.028124700000262237,4194380
encryption,94,3MB file,7.7,10.005489349365234,0.029492800000298303,4194380
encryption,95,3MB file,4.0,10.005489349365234,0.029962399999931222,4194380
encryption,96,3MB file,16.7,10.005489349365234,0.03157909999936237,4194380
encryption,97,3MB file,3.3,10.005489349365234,0.03758159999961208,4194380
encryption,98,3MB file,24.0,10.005489349365234,0.028708699999697274,4194380
encryption,99,3MB file,21.9,10.005489349365234,0.028874699999505538,4194380
encryption,100,3MB file,38.5,10.005489349365234,0.03200160000051255,4194380
encryption,101,3MB file,8.3,10.005489349365234,0.030853700000079698,4194380
encryption,102,3MB file,12.0,10.005489349365234,0.032141200001206016,4194380
encryption,103,3MB file,4.2,10.005489349365234,0.030375500000445754,4194380
encryption,104,3MB file,7.4,10.005489349365234,0.028170599998702528,4194380
encryption,105,3MB file,30.8,10.005489349365234,0.02930700000069919,4194380
encryption,106,3MB file,8.3,10.005489349365234,0.02942340000117838,4194380
encryption,107,3MB file,17.2,10.005489349365234,0.02871709999999439,4194380
encryption,108,3MB file,6.7,10.005489349365234,0.027950800000326126,4194380
encryption,109,3MB file,36.0,10.005489349365234,0.029475400000592344,4194380
encryption,110,3MB file,12.5,10.005489349365234,0.03166160000000673,4194380
encryption,111,3MB file,37.5,10.005489349365234,0.034967699999469914,4194380
encryption,112,3MB file,8.0,10.005489349365234,0.03010099999846716,4194380
encryption,113,3MB file,6.7,10.005489349365234,0.033107100000052014,4194380
encryption,114,3MB file,61.5,10.005489349365234,0.03259260000049835,4194380
encryption,115,3MB file,4.0,10.005489349365234,0.029958499999338528,4194380
encryption,116,3MB file,29.2,10.005489349365234,0.0385322999991331,4194380
encryption,117,3MB file,12.9,10.005489349365234,0.044693599998936406,4194380
encryption,118,3MB file,75.0,10.005489349365234,0.043423200000688666,4194380
encryption,119,3MB file,37.0,10.005489349365234,0.03469829999994545,4194380
encryption,120,3MB file,4.5,10.005489349365234,0.0287239999997837,4194380
encryption,121,3MB file,37.9,10.005489349365234,0.030495799999698647,4194380
encryption,122,3MB file,20.0,10.005489349365234,0.03151799999977811,4194380
encryption,123,3MB file,15.4,10.005489349365234,0.033363599999574944,4194380
encryption,124,3MB file,44.4,10.005489349365234,0.036358999999720254,4194380
encryption,125,3MB file,4.2,10.005489349365234,0.03184460000011313,4194380
decryption,1,3MB file,4.2,6.010788917541504,0.014682900000480004,3145751
decryption,2,3MB file,8.3,6.005834579467773,0.014993999999205698,3145751
decryption,3,3MB file,10.7,6.005308151245117,0.014713700000356766,3145751
decryption,4,3MB file,4.2,6.005308151245117,0.01459650000106194,3145751
decryption,5,3MB file,7.1,6.005308151245117,0.014804000000367523,3145751
decryption,6,3MB file,3.4,6.005308151245117,0.014267000000472763,3145751
decryption,7,3MB file,3.7,6.005308151245117,0.014310800001112511,3145751
decryption,8,3MB file,8.3,6.005308151245117,0.015260400001352536,3145751
decryption,9,3MB file,1.0,6.005308151245117,0.016440899998997338,3145751
decryption,10,3MB file,3.8,6.005308151245117,0.014151900000797468,3145751
decryption,11,3MB file,4.2,6.005308151245117,0.014303500000096392,3145751
decryption,12,3MB file,13.8,6.005308151245117,0.014075099999899976,3145751
decryption,13,3MB file,1.0,6.005308151245117,0.013884600000892533,3145751
decryption,14,3MB file,9.7,6.005308151245117,0.014679800000521936,3145751
decryption,15,3MB file,4.2,6.005308151245117,0.014317400000436464,3145751
decryption,16,3MB file,24.0,6.005308151245117,0.014262599999710801,3145751
decryption,17,3MB file,62.1,6.005308151245117,0.01575600000069244,3145751
decryption,18,3MB file,1.0,6.005308151245117,0.014885500000673346,3145751
decryption,19,3MB file,16.1,6.005308151245117,0.014050300000235438,3145751
decryption,20,3MB file,100.0,6.005308151245117,0.015723200000138604,3145751
decryption,21,3MB file,12.5,6.005308151245117,0.01505389999874751,3145751
decryption,22,3MB file,1.0,6.005308151245117,0.015410600000905106,3145751
decryption,23,3MB file,9.4,6.005308151245117,0.01372550000087358,3145751
decryption,24,3MB file,3.8,6.005308151245117,0.015214400000331807,3145751
decryption,25,3MB file,10.3,6.005308151245117,0.013656500001161476,3145751
decryption,26,3MB file,1.0,6.005308151245117,0.014074800001253607,3145751
decryption,27,3MB file,1.0,6.005308151245117,0.013755599999058177,3145751
decryption,28,3MB file,15.6,6.005308151245117,0.015231999999741674,3145751
decryption,29,3MB file,4.2,6.005308151245117,0.015142999998715823,3145751
decryption,30,3MB file,3.6,6.005308151245117,0.014145600000119884,3145751
decryption,31,3MB file,28.0,6.005308151245117,0.01497679999920365,3145751
decryption,32,3MB file,7.1,6.005308151245117,0.0153587000004336,3145751
decryption,33,3MB file,20.7,6.005308151245117,0.013983800001369673,3145751
decryption,34,3MB file,16.0,6.005308151245117,0.014150200000585755,3145751
decryption,35,3MB file,10.0,6.005308151245117,0.014460499998676823,3145751
decryption,36,3MB file,3.4,6.005308151245117,0.014234899999792106,3145751
decryption,37,3MB file,22.2,6.005308151245117,0.013920499999585445,3145751
decryption,38,3MB file,4.2,6.005308151245117,0.01416139999855659,3145751
decryption,39,3MB file,15.4,6.005308151245117,0.015629100000296603,3145751
decryption,40,3MB file,1.0,6.005308151245117,0.013796900000670576,3145751
decryption,41,3MB file,16.1,6.005308151245117,0.013894800000343821,3145751
decryption,42,3MB file,1.0,6.005308151245117,0.013541399999667192,3145751
decryption,43,3MB file,27.6,6.005308151245117,0.014603699999497621,3145751
decryption,44,3MB file,8.0,6.005308151245117,0.013702600001124665,3145751
decryption,45,3MB file,9.4,6.005308151245117,0.013920800000050804,3145751
decryption,46,3MB file,8.0,6.005308151245117,0.013373400001000846,3145751
decryption,47,3MB file,23.5,6.005308151245117,0.013986599999043392,3145751
decryption,48,3MB file,1.0,6.005308151245117,0.013403099999777623,3145751
decryption,49,3MB file,10.0,6.005308151245117,0.013202100000853534,3145751
decryption,50,3MB file,8.3,6.005308151245117,0.013617700000395416,3145751
decryption,51,3MB file,9.4,6.005308151245117,0.013589800000772811,3145751
decryption,52,3MB file,3.4,6.005308151245117,0.012904600000183564,3145751
decryption,53,3MB file,15.2,6.005308151245117,0.01389019999987795,3145751
decryption,54,3MB file,3.3,6.005308151245117,0.013039499999649706,3145751
decryption,55,3MB file,21.9,6.005308151245117,0.01327070000115782,3145751
decryption,56,3MB file,7.7,6.005308151245117,0.012967200000275625,3145751
decryption,57,3MB file,9.4,6.005308151245117,0.013210799999797018,3145751
decryption,58,3MB file,3.7,6.005308151245117,0.01297349999913422,3145751
decryption,59,3MB file,4.3,6.005308151245117,0.013284999999086722,3145751
decryption,60,3MB file,3.3,6.005308151245117,0.013139800001226831,3145751
decryption,61,3MB file,3.1,6.005308151245117,0.013218000000051688,3145751
decryption,62,3MB file,15.6,6.005308151245117,0.01298319999841624,3145751
decryption,63,3MB file,4.0,6.005308151245117,0.01351049999902898,3145751
decryption,64,3MB file,3.6,6.005308151245117,0.013972900000226218,3145751
decryption,65,3MB file,12.9,6.005308151245117,0.013143800000761985,3145751
decryption,66,3MB file,12.5,6.005308151245117,0.013046699999904376,3145751
decryption,67,3MB file,1.0,6.005308151245117,0.013163100000383565,3145751
decryption,68,3MB file,12.1,6.005308151245117,0.012826899999708985,3145751
decryption,69,3MB file,1.0,6.005308151245117,0.013125200001013582,3145751
decryption,70,3MB file,15.2,6.005308151245117,0.012907500000437722,3145751
decryption,71,3MB file,1.0,6.005308151245117,0.013391400001637521,3145751
decryption,72,3MB file,4.2,6.005308151245117,0.01793080000061309,3145751
decryption,73,3MB file,3.4,6.005308151245117,0.014066099998672144,3145751
decryption,74,3MB file,33.3,6.005308151245117,0.01559619999898132,3145751
decryption,75,3MB file,1.0,6.005308151245117,0.014205900000888505,3145751
decryption,76,3MB file,4.2,6.005308151245117,0.015123199998924974,3145751
decryption,77,3MB file,1.0,6.005308151245117,0.013930699999036733,3145751
decryption,78,3MB file,10.7,6.005308151245117,0.013854599999831407,3145751
decryption,79,3MB file,12.9,6.005308151245117,0.014168100000460981,3145751
decryption,80,3MB file,1.0,6.005308151245117,0.013794499998766696,3145751
decryption,81,3MB file,11.5,6.005308151245117,0.013842199999999139,3145751
decryption,82,3MB file,7.1,6.005308151245117,0.01341610000054061,3145751
decryption,83,3MB file,1.0,6.005308151245117,0.013797699999486213,3145751
decryption,84,3MB file,57.7,6.005308151245117,0.014859899998555193,3145751
decryption,85,3MB file,3.2,6.005308151245117,0.015135999999984051,3145751
decryption,86,3MB file,21.2,6.005308151245117,0.013610300000436837,3145751
decryption,87,3MB file,1.0,6.005308151245117,0.013128399999914109,3145751
decryption,88,3MB file,11.8,6.005308151245117,0.012960800000655581,3145751
decryption,89,3MB file,7.1,6.005308151245117,0.01627819999885105,3145751
decryption,90,3MB file,20.8,6.005308151245117,0.013849400000253809,3145751
decryption,91,3MB file,20.0,6.005308151245117,0.014305900000181282,3145751
decryption,92,3MB file,1.0,6.005308151245117,0.013797199999316945,3145751
decryption,93,3MB file,26.7,6.005308151245117,0.013880800001061289,3145751
