operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,500KB file,20.8,1.6574697494506836,0.006647100000009232,682712
encryption,2,500KB file,4.2,1.6362266540527344,0.007405199999993783,682712
encryption,3,500KB file,17.9,1.6354789733886719,0.005148799999915354,682712
encryption,4,500KB file,24.0,1.6352119445800781,0.007055799999761803,682712
encryption,5,500KB file,3.6,1.6349678039550781,0.005100100000163366,682712
encryption,6,500KB file,12.9,1.6347541809082031,0.005293400000482507,682712
encryption,7,500KB file,35.7,1.6345558166503906,0.00538330000017595,682712
encryption,8,500KB file,28.0,1.6343269348144531,0.007104100000105973,682712
encryption,9,500KB file,1.0,1.6338539123535156,0.005112700000609038,682712
encryption,10,500KB file,19.4,1.6334190368652344,0.006006000000525091,682712
encryption,11,500KB file,11.5,1.6333732604980469,0.0053858999999647494,682712
encryption,12,500KB file,32.0,1.6333122253417969,0.006500399999822548,682712
encryption,13,500KB file,23.1,1.6332664489746094,0.005414000000200758,682712
encryption,14,500KB file,16.7,1.6332206726074219,0.008654100000057952,682712
encryption,15,500KB file,4.2,1.6331672668457031,0.006506300000182819,682712
encryption,16,500KB file,12.5,1.6331520080566406,0.005495499999597087,682712
encryption,17,500KB file,25.8,1.6331367492675781,0.007370399999672372,682712
encryption,18,500KB file,36.0,1.6331214904785156,0.005424699999821314,682712
encryption,19,500KB file,20.8,1.6331062316894531,0.00995390000025509,682712
encryption,20,500KB file,29.2,1.6330909729003906,0.008341700000528363,682712
encryption,21,500KB file,29.2,1.6330757141113281,0.00537850000000617,682712
encryption,22,500KB file,44.0,1.6330604553222656,0.007887000000664557,682712
encryption,23,500KB file,18.8,1.6330451965332031,0.005375699999603967,682712
encryption,24,500KB file,31.2,1.6330375671386719,0.008523200000126963,682712
encryption,25,500KB file,47.1,1.6330299377441406,0.008880999999746564,682712
encryption,26,500KB file,50.0,1.6330223083496094,0.005590699999629578,682712
encryption,27,500KB file,20.8,1.6330223083496094,0.007303500000489294,682712
encryption,28,500KB file,16.7,1.6330223083496094,0.006437400000322668,682712
encryption,29,500KB file,7.7,1.6330223083496094,0.005357199999707518,682712
encryption,30,500KB file,16.7,1.6330223083496094,0.0053285000003597816,682712
encryption,31,500KB file,4.5,1.6330223083496094,0.0051794999999401625,682712
encryption,32,500KB file,6.5,1.6330223083496094,0.006538100000398117,682712
encryption,33,500KB file,8.0,1.6330223083496094,0.005423200000223005,682712
encryption,34,500KB file,8.3,1.6330223083496094,0.005975999999463966,682712
encryption,35,500KB file,40.0,1.6330223083496094,0.005084100000203762,682712
encryption,36,500KB file,7.4,1.6330223083496094,0.0055695000000923756,682712
encryption,37,500KB file,29.2,1.6330223083496094,0.006003100000270933,682712
encryption,38,500KB file,1.0,1.6330223083496094,0.0073870000005626935,682712
encryption,39,500KB file,22.2,1.6330223083496094,0.007803200000125798,682712
