operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
encryption,1,2MB file,1.0,6.674738883972168,0.024430499994195998,2097208,7.522103550065199
encryption,2,2MB file,14.3,6.668551445007324,0.02568960000644438,2097208,7.522103550065199
encryption,3,2MB file,25.0,6.6683759689331055,0.03091380000114441,2097208,7.522103550065199
encryption,4,2MB file,4.2,6.668299674987793,0.026806100009707734,2097208,7.522103550065199
encryption,5,2MB file,48.0,6.668246269226074,0.034529399999883026,2097208,7.522103550065199
encryption,6,2MB file,62.5,6.6681928634643555,0.033844899997347966,2097208,7.522103550065199
encryption,7,2MB file,3.8,6.6681318283081055,0.026497200015001,2097208,7.522103550065199
encryption,8,2MB file,3.1,6.668055534362793,0.025059200008399785,2097208,7.522103550065199
encryption,9,2MB file,4.2,6.668002128601074,0.02507040000637062,2097208,7.522103550065199
encryption,10,2MB file,16.7,6.6679487228393555,0.02595489998930134,2097208,7.522103550065199
encryption,11,2MB file,3.4,6.667895317077637,0.024887100007617846,2097208,7.522103550065199
encryption,12,2MB file,8.3,6.667819023132324,0.024521200015442446,2097208,7.522103550065199
encryption,13,2MB file,14.3,6.6677656173706055,0.024587599997175857,2097208,7.522103550065199
encryption,14,2MB file,10.7,6.667719841003418,0.025026199989952147,2097208,7.522103550065199
encryption,15,2MB file,13.0,6.667681694030762,0.025283800001489,2097208,7.522103550065199
encryption,16,2MB file,1.0,6.6676740646362305,0.024288999993586913,2097208,7.522103550065199
encryption,17,2MB file,3.8,6.667666435241699,0.02469230000860989,2097208,7.522103550065199
encryption,18,2MB file,6.5,6.667658805847168,0.02404620000743307,2097208,7.522103550065199
encryption,19,2MB file,3.8,6.667651176452637,0.024761800013948232,2097208,7.522103550065199
encryption,20,2MB file,33.3,6.6676435470581055,0.0253857999923639,2097208,7.522103550065199
encryption,21,2MB file,17.9,6.667635917663574,0.02464069999405183,2097208,7.522103550065199
encryption,22,2MB file,4.0,6.667628288269043,0.02544489997671917,2097208,7.522103550065199
encryption,23,2MB file,1.0,6.6676130294799805,0.024952900013886392,2097208,7.522103550065199
encryption,24,2MB file,6.7,6.667605400085449,0.024676800007000566,2097208,7.522103550065199
encryption,25,2MB file,4.0,6.667597770690918,0.02460360000259243,2097208,7.522103550065199
encryption,26,2MB file,3.6,6.667590141296387,0.024712500016903505,2097208,7.522103550065199
encryption,27,2MB file,4.5,6.6675825119018555,0.025053599994862452,2097208,7.522103550065199
encryption,28,2MB file,1.0,6.667574882507324,0.025350999989314005,2097208,7.522103550065199
encryption,29,2MB file,3.4,6.667574882507324,0.024706299998797476,2097208,7.522103550065199
encryption,30,2MB file,31.2,6.667574882507324,0.0263946000195574,2097208,7.522103550065199
encryption,31,2MB file,12.5,6.667574882507324,0.02498419999028556,2097208,7.522103550065199
encryption,32,2MB file,1.0,6.667574882507324,0.024895899987313896,2097208,7.522103550065199
encryption,33,2MB file,4.0,6.667574882507324,0.02447619999293238,2097208,7.522103550065199
encryption,34,2MB file,20.0,6.667574882507324,0.02553539999644272,2097208,7.522103550065199
encryption,35,2MB file,10.7,6.667574882507324,0.02496350000728853,2097208,7.522103550065199
encryption,36,2MB file,6.9,6.667574882507324,0.024696299980860204,2097208,7.522103550065199
encryption,37,2MB file,10.7,6.667574882507324,0.02468199998838827,2097208,7.522103550065199
encryption,38,2MB file,16.0,6.667574882507324,0.02534409999498166,2097208,7.522103550065199
encryption,39,2MB file,5.0,6.667574882507324,0.02583749999757856,2097208,7.522103550065199
encryption,40,2MB file,1.0,6.667574882507324,0.025044400012120605,2097208,7.522103550065199
encryption,41,2MB file,9.1,6.667574882507324,0.025674400007119402,2097208,7.522103550065199
encryption,42,2MB file,12.5,6.667574882507324,0.025330200005555525,2097208,7.522103550065199
encryption,43,2MB file,37.5,6.667574882507324,0.02482120000058785,2097208,7.522103550065199
encryption,44,2MB file,12.5,6.667574882507324,0.025764599995454773,2097208,7.522103550065199
encryption,45,2MB file,8.0,6.667574882507324,0.02413810000871308,2097208,7.522103550065199
encryption,46,2MB file,13.6,6.667574882507324,0.024362799973459914,2097208,7.522103550065199
encryption,47,2MB file,16.1,6.667574882507324,0.025417299999389797,2097208,7.522103550065199
encryption,48,2MB file,3.4,6.667574882507324,0.024979700014228,2097208,7.522103550065199
encryption,49,2MB file,3.4,6.667574882507324,0.025266600016038865,2097208,7.522103550065199
encryption,50,2MB file,3.7,6.667574882507324,0.02464059999329038,2097208,7.522103550065199
decryption,1,2MB file,6.5,4.001298904418945,0.015653600014047697,2097200,0
decryption,2,2MB file,10.0,4.000795364379883,0.015273199998773634,2097200,0
decryption,3,2MB file,41.7,4.000795364379883,0.01637050000135787,2097200,0
decryption,4,2MB file,55.6,4.000795364379883,0.016196000011404976,2097200,0
decryption,5,2MB file,25.0,4.000795364379883,0.017548700008774176,2097200,0
decryption,6,2MB file,7.4,4.000795364379883,0.01574220001930371,2097200,0
decryption,7,2MB file,17.9,4.000795364379883,0.015364900027634576,2097200,0
decryption,8,2MB file,1.0,4.000795364379883,0.015685400023357943,2097200,0
decryption,9,2MB file,10.0,4.000795364379883,0.015473200008273125,2097200,0
decryption,10,2MB file,3.2,4.000795364379883,0.014995600009569898,2097200,0
decryption,11,2MB file,6.7,4.000795364379883,0.01581920002354309,2097200,0
decryption,12,2MB file,6.7,4.000795364379883,0.015236700011882931,2097200,0
decryption,13,2MB file,14.3,4.000795364379883,0.015092600020579994,2097200,0
decryption,14,2MB file,28.6,4.000795364379883,0.01537169999210164,2097200,0
decryption,15,2MB file,3.8,4.000795364379883,0.015475699998205528,2097200,0
decryption,16,2MB file,1.0,4.000795364379883,0.015375200018752366,2097200,0
