operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
encryption,1,500KB file,3.4,1.6283597946166992,0.005854299990460277,512008,7.522200693543046
encryption,2,500KB file,11.5,1.6283597946166992,0.005830300011439249,512008,7.522200693543046
encryption,3,500KB file,20.8,1.6283597946166992,0.007066299993311986,512008,7.522200693543046
encryption,4,500KB file,12.5,1.6283597946166992,0.00636790000135079,512008,7.522200693543046
encryption,5,500KB file,41.7,1.6283597946166992,0.005984299990814179,512008,7.522200693543046
encryption,6,500KB file,7.7,1.6283597946166992,0.0061190999986138195,512008,7.522200693543046
encryption,7,500KB file,31.2,1.6283597946166992,0.006076199992094189,512008,7.522200693543046
encryption,8,500KB file,7.7,1.6283597946166992,0.006438700016587973,512008,7.522200693543046
encryption,9,500KB file,56.0,1.6283597946166992,0.005694899999070913,512008,7.522200693543046
encryption,10,500KB file,12.0,1.6283597946166992,0.005636399990180507,512008,7.522200693543046
encryption,11,500KB file,11.5,1.6283597946166992,0.005856000003404915,512008,7.522200693543046
encryption,12,500KB file,12.5,1.6283597946166992,0.005709099990781397,512008,7.522200693543046
encryption,13,500KB file,16.0,1.6283597946166992,0.005524200008949265,512008,7.522200693543046
encryption,14,500KB file,9.4,1.6283597946166992,0.005659200018271804,512008,7.522200693543046
encryption,15,500KB file,16.7,1.6283597946166992,0.0059951999865006655,512008,7.522200693543046
encryption,16,500KB file,10.7,1.6283597946166992,0.00554569999803789,512008,7.522200693543046
encryption,17,500KB file,3.8,1.6283597946166992,0.005746400012867525,512008,7.522200693543046
encryption,18,500KB file,8.3,1.6283597946166992,0.005951900006039068,512008,7.522200693543046
encryption,19,500KB file,7.7,1.6283597946166992,0.005389099998865277,512008,7.522200693543046
encryption,20,500KB file,7.4,1.6283597946166992,0.0057610999792814255,512008,7.522200693543046
encryption,21,500KB file,13.8,1.6283597946166992,0.005926200014073402,512008,7.522200693543046
encryption,22,500KB file,4.3,1.6283597946166992,0.0054392000020015985,512008,7.522200693543046
encryption,23,500KB file,6.5,1.6283597946166992,0.005858799995621666,512008,7.522200693543046
encryption,24,500KB file,4.3,1.6283597946166992,0.005775700003141537,512008,7.522200693543046
encryption,25,500KB file,8.0,1.6283597946166992,0.0056841999758034945,512008,7.522200693543046
encryption,26,500KB file,3.2,1.6283597946166992,0.006005400005960837,512008,7.522200693543046
encryption,27,500KB file,7.7,1.6283597946166992,0.005852100002812222,512008,7.522200693543046
encryption,28,500KB file,27.6,1.6283597946166992,0.005946999997831881,512008,7.522200693543046
encryption,29,500KB file,4.2,1.6283597946166992,0.006019299995386973,512008,7.522200693543046
encryption,30,500KB file,12.0,1.6283597946166992,0.005715699982829392,512008,7.522200693543046
encryption,31,500KB file,7.1,1.6283597946166992,0.005859500000951812,512008,7.522200693543046
encryption,32,500KB file,8.0,1.6283597946166992,0.006090399983804673,512008,7.522200693543046
encryption,33,500KB file,1.0,1.6283597946166992,0.0056961999798659235,512008,7.522200693543046
encryption,34,500KB file,4.5,1.6283597946166992,0.005950899998424575,512008,7.522200693543046
encryption,35,500KB file,17.4,1.6283597946166992,0.006164299993542954,512008,7.522200693543046
encryption,36,500KB file,3.6,1.6283597946166992,0.005659300019033253,512008,7.522200693543046
encryption,37,500KB file,14.3,1.6283597946166992,0.006052899989299476,512008,7.522200693543046
encryption,38,500KB file,10.7,1.6283597946166992,0.005709599994588643,512008,7.522200693543046
encryption,39,500KB file,3.1,1.6283597946166992,0.00591749997693114,512008,7.522200693543046
encryption,40,500KB file,7.7,1.6283597946166992,0.005488199996761978,512008,7.522200693543046
encryption,41,500KB file,4.3,1.6283597946166992,0.005653700005495921,512008,7.522200693543046
encryption,42,500KB file,7.4,1.6283597946166992,0.006079499988118187,512008,7.522200693543046
encryption,43,500KB file,6.9,1.6283597946166992,0.005461799999466166,512008,7.522200693543046
encryption,44,500KB file,7.1,1.6283597946166992,0.005894300004001707,512008,7.522200693543046
encryption,45,500KB file,4.0,1.6283597946166992,0.00577079999493435,512008,7.522200693543046
encryption,46,500KB file,6.5,1.6283597946166992,0.005446999974083155,512008,7.522200693543046
encryption,47,500KB file,20.8,1.6283597946166992,0.005789799994090572,512008,7.522200693543046
encryption,48,500KB file,18.2,1.6283597946166992,0.006026799994288012,512008,7.522200693543046
