operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,2MB file,24.0,6.673370361328125,0.035491200018441305,2796284
encryption,2,2MB file,8.3,6.668312072753906,0.031210799992550164,2796284
encryption,3,2MB file,24.1,6.668266296386719,0.02684239999507554,2796284
encryption,4,2MB file,16.0,6.668205261230469,0.03033430001232773,2796284
encryption,5,2MB file,7.7,6.668159484863281,0.03261639998527244,2796284
encryption,6,2MB file,48.0,6.668113708496094,0.03607669999473728,2796284
encryption,7,2MB file,6.2,6.668052673339844,0.046034300001338124,2796284
encryption,8,2MB file,3.1,6.667991638183594,0.03706800000509247,2796284
encryption,9,2MB file,17.9,6.667945861816406,0.030349399981787428,2796284
encryption,10,2MB file,16.0,6.667900085449219,0.03656859998591244,2796284
encryption,11,2MB file,40.6,6.667854309082031,0.041707900003530085,2796284
encryption,12,2MB file,33.3,6.667793273925781,0.05107650000718422,2796284
encryption,13,2MB file,32.3,6.667747497558594,0.050616599997738376,2796284
encryption,14,2MB file,34.4,6.667701721191406,0.05034240000532009,2796284
encryption,15,2MB file,18.8,6.6676483154296875,0.03758710002875887,2796284
encryption,16,2MB file,36.0,6.667633056640625,0.05295240000123158,2796284
encryption,17,2MB file,29.2,6.6676177978515625,0.05094329998246394,2796284
encryption,18,2MB file,50.0,6.6676025390625,0.05300790001638234,2796284
encryption,19,2MB file,20.0,6.6675872802734375,0.04062859999248758,2796284
encryption,20,2MB file,41.7,6.667572021484375,0.06388880001031794,2796284
encryption,21,2MB file,40.0,6.6675567626953125,0.053464500000700355,2796284
encryption,22,2MB file,4.2,6.66754150390625,0.05440590000944212,2796284
encryption,23,2MB file,4.2,6.667510986328125,0.049609399982728064,2796284
encryption,24,2MB file,7.4,6.6674957275390625,0.03378029997111298,2796284
encryption,25,2MB file,16.0,6.66748046875,0.029942599998321384,2796284
encryption,26,2MB file,25.8,6.6674652099609375,0.0338962999812793,2796284
encryption,27,2MB file,31.8,6.667457580566406,0.03990879998309538,2796284
encryption,28,2MB file,1.0,6.667449951171875,0.0340114000136964,2796284
encryption,29,2MB file,21.7,6.667449951171875,0.041611599997850135,2796284
encryption,30,2MB file,8.3,6.667449951171875,0.031307099998230115,2796284
encryption,31,2MB file,28.6,6.667449951171875,0.038506300013978034,2796284
encryption,32,2MB file,29.0,6.667449951171875,0.03754530000151135,2796284
encryption,33,2MB file,4.2,6.667449951171875,0.03649779999977909,2796284
encryption,34,2MB file,16.0,6.667449951171875,0.03267980000237003,2796284
encryption,35,2MB file,16.0,6.667449951171875,0.027816199988592416,2796284
encryption,36,2MB file,8.3,6.667449951171875,0.037418599997181445,2796284
encryption,37,2MB file,4.2,6.667449951171875,0.029312400001799688,2796284
