operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,16.7,0.4941387176513672,0.004567600000882521,136842
encryption,2,100KB file,8.3,0.4941387176513672,0.0055391000023519155,136842
encryption,3,100KB file,17.4,0.4941387176513672,0.004347099998994963,136842
encryption,4,100KB file,45.7,0.4941387176513672,0.005217699999775505,136842
encryption,5,100KB file,29.2,0.4941387176513672,0.0060598000018217135,136842
encryption,6,100KB file,20.8,0.4941387176513672,0.005416100000729784,136842
encryption,7,100KB file,22.6,0.4941387176513672,0.008125899999868125,136842
encryption,8,100KB file,75.0,0.4941387176513672,0.004453000001376495,136842
encryption,9,100KB file,4.2,0.4941387176513672,0.006941199997527292,136842
encryption,10,100KB file,42.4,0.4941387176513672,0.00491150000016205,136842
encryption,11,100KB file,58.3,0.4941387176513672,0.013929900000221096,136842
encryption,12,100KB file,84.6,0.4941387176513672,0.013457600001856918,136842
encryption,13,100KB file,37.5,0.4941387176513672,0.011315499999909662,136842
encryption,14,100KB file,15.4,0.4941387176513672,0.004490899998927489,136842
encryption,15,100KB file,51.9,0.4941387176513672,0.006626700000197161,136842
encryption,16,100KB file,72.0,0.4941387176513672,0.009703200001240475,136842
encryption,17,100KB file,28.0,0.4941387176513672,0.004714400001830654,136842
encryption,18,100KB file,16.7,0.4941387176513672,0.008312199999636505,136842
encryption,19,100KB file,55.6,0.4941387176513672,0.004753499997605104,136842
encryption,20,100KB file,53.1,0.4941387176513672,0.0058816999990085606,136842
encryption,21,100KB file,7.7,0.4941387176513672,0.004859900000155903,136842
encryption,22,100KB file,51.5,0.4941387176513672,0.004468999999517109,136842
encryption,23,100KB file,16.0,0.4941387176513672,0.00436680000348133,136842
encryption,24,100KB file,4.2,0.4941387176513672,0.0047640000011597294,136842
encryption,25,100KB file,36.0,0.4941387176513672,0.004759600000397768,136842
encryption,26,100KB file,50.0,0.4941387176513672,0.004416300002048956,136842
encryption,27,100KB file,32.0,0.4941387176513672,0.0074051000010513235,136842
encryption,28,100KB file,41.7,0.4941387176513672,0.005167199997231364,136842
encryption,29,100KB file,68.0,0.4941387176513672,0.010371600001235493,136842
encryption,30,100KB file,11.1,0.4941387176513672,0.0048504000005777925,136842
encryption,31,100KB file,16.0,0.4941387176513672,0.006939200000488199,136842
encryption,32,100KB file,6.9,0.4941387176513672,0.009093900000152644,136842
encryption,33,100KB file,32.0,0.4941387176513672,0.00455810000130441,136842
encryption,34,100KB file,4.2,0.4941387176513672,0.006149699998786673,136842
encryption,35,100KB file,27.6,0.4941387176513672,0.004387900000438094,136842
encryption,36,100KB file,30.3,0.4941387176513672,0.006054000001313398,136842
encryption,37,100KB file,37.5,0.4941387176513672,0.004574599999614293,136842
encryption,38,100KB file,1.0,0.4941387176513672,0.006448799998906907,136842
encryption,39,100KB file,53.8,0.4941387176513672,0.0044430999987525865,136842
encryption,40,100KB file,12.5,0.4941387176513672,0.005303800000547199,136842
encryption,41,100KB file,7.1,0.4941387176513672,0.004572399997414323,136842
encryption,42,100KB file,46.2,0.4941387176513672,0.004601800003001699,136842
encryption,43,100KB file,4.2,0.4941387176513672,0.004611799999111099,136842
encryption,44,100KB file,7.1,0.4941387176513672,0.004341899999417365,136842
encryption,45,100KB file,21.2,0.4941387176513672,0.005768800001533236,136842
encryption,46,100KB file,33.3,0.4941387176513672,0.004423399997904198,136842
encryption,47,100KB file,12.5,0.4941387176513672,0.006492799999250565,136842
encryption,48,100KB file,4.3,0.4941387176513672,0.004370200000266777,136842
encryption,49,100KB file,31.0,0.4941387176513672,0.004699500001152046,136842
encryption,50,100KB file,8.3,0.4941387176513672,0.004439899999852059,136842
encryption,51,100KB file,26.9,0.4941387176513672,0.004838099997868994,136842
encryption,52,100KB file,12.5,0.4941387176513672,0.005093300002044998,136842
encryption,53,100KB file,24.0,0.4941387176513672,0.00460430000021006,136842
encryption,54,100KB file,60.0,0.4941387176513672,0.00870040000154404,136842
encryption,55,100KB file,6.9,0.4941387176513672,0.004266300002200296,136842
encryption,56,100KB file,8.3,0.4941387176513672,0.006511299998237519,136842
encryption,57,100KB file,14.3,0.4941387176513672,0.005677500001183944,136842
encryption,58,100KB file,24.0,0.4941387176513672,0.008362399999896297,136842
encryption,59,100KB file,16.7,0.4941387176513672,0.004611099997418933,136842
encryption,60,100KB file,4.2,0.4941387176513672,0.006086299999878975,136842
encryption,61,100KB file,6.7,0.4941387176513672,0.004727499999717111,136842
encryption,62,100KB file,62.5,0.4941387176513672,0.00720759999967413,136842
