operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,8.0,0.4941387176513672,0.00462830000105896,136842
encryption,2,100KB file,4.8,0.4941387176513672,0.004386900000099558,136842
encryption,3,100KB file,9.7,0.4941387176513672,0.005028399998991517,136842
encryption,4,100KB file,12.0,0.4941387176513672,0.004602699998940807,136842
encryption,5,100KB file,52.8,0.4941387176513672,0.004334299999754876,136842
encryption,6,100KB file,33.3,0.4941387176513672,0.0060154999991937075,136842
encryption,7,100KB file,36.7,0.4941387176513672,0.004765199999383185,136842
encryption,8,100KB file,1.0,0.4941387176513672,0.004834300001675729,136842
encryption,9,100KB file,25.0,0.4941387176513672,0.00630029999956605,136842
encryption,10,100KB file,54.2,0.4941387176513672,0.0053173000014794525,136842
encryption,11,100KB file,32.0,0.4941387176513672,0.006678699999611126,136842
encryption,12,100KB file,53.3,0.4941387176513672,0.004843299997446593,136842
encryption,13,100KB file,8.3,0.4941387176513672,0.012216700000863057,136842
encryption,14,100KB file,30.3,0.4941387176513672,0.004320200001529884,136842
encryption,15,100KB file,1.0,0.4941387176513672,0.005433099999208935,136842
encryption,16,100KB file,37.5,0.4941387176513672,0.005960700000287034,136842
encryption,17,100KB file,30.8,0.4941387176513672,0.004796000001078937,136842
encryption,18,100KB file,4.2,0.4941387176513672,0.006350299998302944,136842
encryption,19,100KB file,24.0,0.4941387176513672,0.004769999999552965,136842
encryption,20,100KB file,35.3,0.4941387176513672,0.005288600001222221,136842
encryption,21,100KB file,12.5,0.4941387176513672,0.00444239999706042,136842
encryption,22,100KB file,31.0,0.4941387176513672,0.004791700001078425,136842
encryption,23,100KB file,8.3,0.4941387176513672,0.004792299998371163,136842
encryption,24,100KB file,3.8,0.4941387176513672,0.004459799998585368,136842
encryption,25,100KB file,12.9,0.4941387176513672,0.00474459999895771,136842
encryption,26,100KB file,25.0,0.4941387176513672,0.0043671000021276996,136842
encryption,27,100KB file,3.7,0.4941387176513672,0.004765599998791004,136842
encryption,28,100KB file,41.4,0.4941387176513672,0.004623199998604832,136842
encryption,29,100KB file,31.0,0.4941387176513672,0.004801000002771616,136842
encryption,30,100KB file,8.3,0.4941387176513672,0.005091700000775745,136842
encryption,31,100KB file,46.2,0.4941387176513672,0.004734099999041064,136842
encryption,32,100KB file,36.0,0.4941387176513672,0.005552099999476923,136842
encryption,33,100KB file,33.3,0.4941387176513672,0.004412800000864081,136842
encryption,34,100KB file,36.0,0.4941387176513672,0.004796000001078937,136842
encryption,35,100KB file,16.7,0.4941387176513672,0.00463579999996,136842
encryption,36,100KB file,3.1,0.4941387176513672,0.004387100001622457,136842
encryption,37,100KB file,21.9,0.4941387176513672,0.00531819999741856,136842
encryption,38,100KB file,52.0,0.4941387176513672,0.004530900001554983,136842
encryption,39,100KB file,25.0,0.4941387176513672,0.004585700000461657,136842
encryption,40,100KB file,11.1,0.4941387176513672,0.004474600002140505,136842
encryption,41,100KB file,18.5,0.4941387176513672,0.004541599999356549,136842
encryption,42,100KB file,6.5,0.4941387176513672,0.005005500002880581,136842
encryption,43,100KB file,20.8,0.4941387176513672,0.004589300002407981,136842
encryption,44,100KB file,4.2,0.4941387176513672,0.005259500001557171,136842
encryption,45,100KB file,6.9,0.4941387176513672,0.0046184999991965014,136842
encryption,46,100KB file,9.5,0.4941387176513672,0.004864600003202213,136842
encryption,47,100KB file,52.0,0.4941387176513672,0.004602000000886619,136842
encryption,48,100KB file,22.2,0.4941387176513672,0.005090800001198659,136842
encryption,49,100KB file,8.3,0.4941387176513672,0.004890100000920938,136842
encryption,50,100KB file,21.1,0.4941387176513672,0.0045678999995288905,136842
encryption,51,100KB file,32.4,0.4941387176513672,0.0047766999996383674,136842
encryption,52,100KB file,12.0,0.4941387176513672,0.004505100001551909,136842
encryption,53,100KB file,20.7,0.4941387176513672,0.004417199997988064,136842
encryption,54,100KB file,12.0,0.4941387176513672,0.004477599999518134,136842
encryption,55,100KB file,7.7,0.4941387176513672,0.004567500000121072,136842
encryption,56,100KB file,18.8,0.4941387176513672,0.0057952999995904975,136842
encryption,57,100KB file,1.0,0.4941387176513672,0.004499700000451412,136842
encryption,58,100KB file,12.5,0.4941387176513672,0.00511230000120122,136842
encryption,59,100KB file,3.7,0.4941387176513672,0.004765599998791004,136842
encryption,60,100KB file,5.0,0.4941387176513672,0.004394499999762047,136842
encryption,61,100KB file,6.9,0.4941387176513672,0.005190799998672446,136842
encryption,62,100KB file,12.0,0.4941387176513672,0.004811900002096081,136842
encryption,63,100KB file,6.9,0.4941387176513672,0.004945500000758329,136842
encryption,64,100KB file,16.7,0.4941387176513672,0.004592900000716327,136842
encryption,65,100KB file,3.4,0.4941387176513672,0.004568500000459608,136842
encryption,66,100KB file,1.0,0.4941387176513672,0.00450740000087535,136842
encryption,67,100KB file,16.7,0.4941387176513672,0.004523100000369595,136842
encryption,68,100KB file,1.0,0.4941387176513672,0.0049319999998260755,136842
encryption,69,100KB file,16.7,0.4941387176513672,0.004854999999224674,136842
encryption,70,100KB file,4.2,0.4941387176513672,0.005629600000247592,136842
encryption,71,100KB file,6.2,0.4941387176513672,0.004413499998918269,136842
encryption,72,100KB file,4.2,0.4941387176513672,0.004416899999341695,136842
encryption,73,100KB file,12.5,0.4941387176513672,0.004859600001509534,136842
encryption,74,100KB file,4.0,0.4941387176513672,0.004422400001203641,136842
encryption,75,100KB file,12.5,0.4941387176513672,0.004912799999146955,136842
encryption,76,100KB file,16.7,0.4941387176513672,0.004561699999612756,136842
encryption,77,100KB file,4.0,0.4941387176513672,0.004580799999530427,136842
encryption,78,100KB file,7.4,0.4941387176513672,0.004577100000460632,136842
encryption,79,100KB file,29.2,0.4941387176513672,0.004581500001222594,136842
encryption,80,100KB file,1.0,0.4941387176513672,0.004920399998809444,136842
encryption,81,100KB file,10.3,0.4941387176513672,0.004523999999946682,136842
encryption,82,100KB file,4.2,0.4941387176513672,0.005321200002072146,136842
encryption,83,100KB file,3.7,0.4941387176513672,0.0050384999995003454,136842
encryption,84,100KB file,9.7,0.4941387176513672,0.004478799997741589,136842
encryption,85,100KB file,1.0,0.4941387176513672,0.004782100000738865,136842
encryption,86,100KB file,8.3,0.4941387176513672,0.0044536999994306825,136842
encryption,87,100KB file,1.0,0.4941387176513672,0.005171000000700587,136842
encryption,88,100KB file,8.3,0.4941387176513672,0.004554499999358086,136842
encryption,89,100KB file,1.0,0.4941387176513672,0.0054062999988673255,136842
encryption,90,100KB file,12.5,0.4941387176513672,0.004515799999353476,136842
encryption,91,100KB file,4.2,0.4941387176513672,0.004723999998532236,136842
encryption,92,100KB file,6.7,0.4941387176513672,0.0043480000022100285,136842
encryption,93,100KB file,8.3,0.4941387176513672,0.004360599999927217,136842
encryption,94,100KB file,4.2,0.4941387176513672,0.00563250000050175,136842
encryption,95,100KB file,1.0,0.4941387176513672,0.004394600000523496,136842
encryption,96,100KB file,6.2,0.4941387176513672,0.004636999998183455,136842
encryption,97,100KB file,8.0,0.4941387176513672,0.004568399999698158,136842
encryption,98,100KB file,21.7,0.4941387176513672,0.004811799997696653,136842
encryption,99,100KB file,20.8,0.4941387176513672,0.004739299998618662,136842
encryption,100,100KB file,1.0,0.4941387176513672,0.004618299997673603,136842
decryption,1,100KB file,4.2,0.527430534362793,0.004725699996924959,102410
decryption,2,100KB file,6.7,0.527430534362793,0.004480299998249393,102410
decryption,3,100KB file,1.0,0.527430534362793,0.004099300000234507,102410
decryption,4,100KB file,20.0,0.527430534362793,0.0041323000004922505,102410
decryption,5,100KB file,3.8,0.527430534362793,0.0040043000008154195,102410
decryption,6,100KB file,12.0,0.527430534362793,0.004869399999734014,102410
decryption,7,100KB file,3.2,0.527430534362793,0.004050900002766866,102410
decryption,8,100KB file,24.0,0.527430534362793,0.0040923000015027355,102410
decryption,9,100KB file,3.8,0.527430534362793,0.00484370000049239,102410
decryption,10,100KB file,16.7,0.527430534362793,0.004443399997398956,102410
decryption,11,100KB file,6.7,0.527430534362793,0.0040213000029325485,102410
decryption,12,100KB file,3.7,0.527430534362793,0.004248199998983182,102410
decryption,13,100KB file,1.0,0.527430534362793,0.004537600001640385,102410
decryption,14,100KB file,7.4,0.527430534362793,0.0042777999988175,102410
decryption,15,100KB file,25.0,0.527430534362793,0.004091700000572018,102410
decryption,16,100KB file,3.4,0.527430534362793,0.004387200002383906,102410
decryption,17,100KB file,29.2,0.527430534362793,0.004241899998305598,102410
decryption,18,100KB file,16.0,0.527430534362793,0.004038600000058068,102410
decryption,19,100KB file,32.1,0.527430534362793,0.003918500002328074,102410
decryption,20,100KB file,4.2,0.527430534362793,0.00461649999851943,102410
decryption,21,100KB file,23.1,0.527430534362793,0.004026599999633618,102410
decryption,22,100KB file,8.0,0.527430534362793,0.004056199999467935,102410
decryption,23,100KB file,4.2,0.527430534362793,0.004173799999989569,102410
decryption,24,100KB file,16.7,0.527430534362793,0.004413999999087537,102410
decryption,25,100KB file,4.0,0.527430534362793,0.004061999999976251,102410
decryption,26,100KB file,7.7,0.527430534362793,0.004015300000901334,102410
decryption,27,100KB file,4.2,0.527430534362793,0.004157100000156788,102410
decryption,28,100KB file,1.0,0.527430534362793,0.004163099998550024,102410
decryption,29,100KB file,20.0,0.527430534362793,0.004286899998987792,102410
decryption,30,100KB file,3.4,0.527430534362793,0.004119000001082895,102410
decryption,31,100KB file,23.3,0.527430534362793,0.004873900001257425,102410
decryption,32,100KB file,3.4,0.527430534362793,0.004279300002963282,102410
decryption,33,100KB file,4.2,0.527430534362793,0.004282199999579461,102410
decryption,34,100KB file,15.2,0.527430534362793,0.004450199998245807,102410
decryption,35,100KB file,12.5,0.527430534362793,0.003995699997176416,102410
decryption,36,100KB file,7.1,0.527430534362793,0.004351400002633454,102410
decryption,37,100KB file,13.3,0.527430534362793,0.004670100002840627,102410
decryption,38,100KB file,1.0,0.527430534362793,0.004309700001613237,102410
decryption,39,100KB file,9.4,0.527430534362793,0.004687100001319777,102410
decryption,40,100KB file,3.8,0.527430534362793,0.004066599998623133,102410
decryption,41,100KB file,20.0,0.527430534362793,0.004329999999754364,102410
decryption,42,100KB file,4.2,0.527430534362793,0.004557800002658041,102410
decryption,43,100KB file,3.4,0.527430534362793,0.003949900001316564,102410
decryption,44,100KB file,12.0,0.527430534362793,0.004514499996730592,102410
decryption,45,100KB file,4.0,0.527430534362793,0.004507499997998821,102410
decryption,46,100KB file,1.0,0.527430534362793,0.003972200000134762,102410
decryption,47,100KB file,25.0,0.527430534362793,0.004110199999558972,102410
decryption,48,100KB file,7.7,0.527430534362793,0.004884699999820441,102410
decryption,49,100KB file,4.5,0.527430534362793,0.004637699999875622,102410
decryption,50,100KB file,12.5,0.527430534362793,0.004206799996609334,102410
decryption,51,100KB file,8.0,0.527430534362793,0.004006999999546679,102410
decryption,52,100KB file,8.3,0.527430534362793,0.004063799999130424,102410
decryption,53,100KB file,4.2,0.527430534362793,0.004364299998997012,102410
decryption,54,100KB file,3.7,0.527430534362793,0.004080800001247553,102410
decryption,55,100KB file,12.5,0.527430534362793,0.004113800001505297,102410
decryption,56,100KB file,12.5,0.527430534362793,0.004761800002597738,102410
decryption,57,100KB file,19.2,0.527430534362793,0.0040197000016632956,102410
decryption,58,100KB file,20.0,0.527430534362793,0.004004800000984687,102410
decryption,59,100KB file,8.3,0.527430534362793,0.0046692000032635406,102410
decryption,60,100KB file,1.0,0.527430534362793,0.0042012000012618955,102410
decryption,61,100KB file,9.4,0.527430534362793,0.004184599998552585,102410
decryption,62,100KB file,4.2,0.527430534362793,0.004490700001042569,102410
decryption,63,100KB file,7.7,0.527430534362793,0.0039786000015737955,102410
decryption,64,100KB file,31.2,0.527430534362793,0.004128799999307375,102410
decryption,65,100KB file,4.2,0.527430534362793,0.004201499999908265,102410
decryption,66,100KB file,60.0,0.527430534362793,0.004687000000558328,102410
decryption,67,100KB file,4.5,0.527430534362793,0.00427270000000135,102410
decryption,68,100KB file,4.2,0.527430534362793,0.004487500002142042,102410
decryption,69,100KB file,16.7,0.527430534362793,0.004613200002495432,102410
decryption,70,100KB file,3.7,0.527430534362793,0.004353200001787627,102410
decryption,71,100KB file,52.6,0.527430534362793,0.0040116999989550095,102410
decryption,72,100KB file,12.9,0.527430534362793,0.004159399999480229,102410
decryption,73,100KB file,3.7,0.527430534362793,0.00457299999834504,102410
decryption,74,100KB file,20.8,0.527430534362793,0.004968700002791593,102410
decryption,75,100KB file,15.4,0.527430534362793,0.003939499998523388,102410
decryption,76,100KB file,7.1,0.527430534362793,0.004186199999821838,102410
decryption,77,100KB file,9.7,0.527430534362793,0.004460399999516085,102410
decryption,78,100KB file,7.7,0.527430534362793,0.00414699999964796,102410
decryption,79,100KB file,8.0,0.527430534362793,0.0040512000014132354,102410
decryption,80,100KB file,6.9,0.527430534362793,0.0044006999996781815,102410
decryption,81,100KB file,1.0,0.527430534362793,0.003963700000895187,102410
decryption,82,100KB file,13.3,0.527430534362793,0.004444800000783289,102410
