operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,16.7,0.5241289138793945,0.005797899997560307,136842
encryption,2,100KB file,4.2,0.49692344665527344,0.00504949999958626,136842
encryption,3,100KB file,8.0,0.49654197692871094,0.004675000000133878,136842
encryption,4,100KB file,12.0,0.4962902069091797,0.004810499998711748,136842
encryption,5,100KB file,7.1,0.4960460662841797,0.005851199999597156,136842
encryption,6,100KB file,21.2,0.4958324432373047,0.005756399998062989,136842
encryption,7,100KB file,33.3,0.4956188201904297,0.004669199999625562,136842
encryption,8,100KB file,16.0,0.49487876892089844,0.008426799999142531,136842
encryption,9,100KB file,4.2,0.49448204040527344,0.004598600000463193,136842
encryption,10,100KB file,17.9,0.49440574645996094,0.006349800001771655,136842
encryption,11,100KB file,16.7,0.4943675994873047,0.004542599999695085,136842
encryption,12,100KB file,4.2,0.49434471130371094,0.005733599999075523,136842
encryption,13,100KB file,32.0,0.49432945251464844,0.0049462999995739665,136842
encryption,14,100KB file,40.7,0.49431419372558594,0.008595600000262493,136842
encryption,15,100KB file,48.0,0.49428367614746094,0.004864999998972053,136842
encryption,16,100KB file,4.2,0.49426841735839844,0.009437999997317092,136842
encryption,17,100KB file,24.0,0.49425315856933594,0.004863500002102228,136842
encryption,18,100KB file,44.0,0.49423789978027344,0.007617800001753494,136842
encryption,19,100KB file,63.6,0.49422264099121094,0.005962399998679757,136842
encryption,20,100KB file,12.5,0.49420738220214844,0.004578300002322067,136842
encryption,21,100KB file,9.7,0.49419212341308594,0.004445700000360375,136842
encryption,22,100KB file,25.0,0.49417686462402344,0.006197200000315206,136842
encryption,23,100KB file,42.4,0.49416160583496094,0.00501339999755146,136842
encryption,24,100KB file,45.8,0.4941539764404297,0.004694400002335897,136842
encryption,25,100KB file,4.2,0.49414634704589844,0.005301100001815939,136842
encryption,26,100KB file,40.0,0.4941387176513672,0.004968699999153614,136842
encryption,27,100KB file,8.3,0.4941387176513672,0.0063771999994060025,136842
encryption,28,100KB file,12.5,0.4941387176513672,0.004849199998716358,136842
encryption,29,100KB file,59.3,0.4941387176513672,0.007012500002019806,136842
encryption,30,100KB file,16.7,0.4941387176513672,0.005782799998996779,136842
encryption,31,100KB file,8.3,0.4941387176513672,0.008319799999298993,136842
encryption,32,100KB file,30.8,0.4941387176513672,0.0058939000009559095,136842
encryption,33,100KB file,48.3,0.4941387176513672,0.008210500000132015,136842
encryption,34,100KB file,40.6,0.4941387176513672,0.007019399999990128,136842
encryption,35,100KB file,44.4,0.4941387176513672,0.005050600000686245,136842
encryption,36,100KB file,46.4,0.4941387176513672,0.00642629999856581,136842
encryption,37,100KB file,10.3,0.4941387176513672,0.004554399998596637,136842
encryption,38,100KB file,16.7,0.4941387176513672,0.005274399998597801,136842
encryption,39,100KB file,81.8,0.4941387176513672,0.0057446999999228865,136842
encryption,40,100KB file,41.7,0.4941387176513672,0.00787059999856865,136842
encryption,41,100KB file,12.0,0.4941387176513672,0.00635590000092634,136842
encryption,42,100KB file,10.0,0.4941387176513672,0.004674700001487508,136842
encryption,43,100KB file,8.3,0.4941387176513672,0.004835899999307003,136842
encryption,44,100KB file,37.5,0.4941387176513672,0.004583599999023136,136842
encryption,45,100KB file,6.5,0.4941387176513672,0.0045731999998679385,136842
