operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,100KB file,8.3,0.4941387176513672,0.00473960000090301,136842
encryption,2,100KB file,4.5,0.4941387176513672,0.0044369999995979015,136842
encryption,3,100KB file,9.4,0.4941387176513672,0.005034499998146202,136842
encryption,4,100KB file,37.5,0.4941387176513672,0.004747700000734767,136842
encryption,5,100KB file,8.3,0.4941387176513672,0.0057960999984061345,136842
encryption,6,100KB file,22.6,0.4941387176513672,0.004903199998807395,136842
encryption,7,100KB file,16.7,0.4941387176513672,0.007952299998578383,136842
encryption,8,100KB file,3.8,0.4941387176513672,0.004276699997717515,136842
encryption,9,100KB file,19.2,0.4941387176513672,0.005069099999673199,136842
encryption,10,100KB file,52.0,0.4941387176513672,0.004439199998159893,136842
encryption,11,100KB file,6.7,0.4941387176513672,0.004471500000363449,136842
encryption,12,100KB file,10.3,0.4941387176513672,0.00501060000169673,136842
encryption,13,100KB file,40.0,0.4941387176513672,0.004508500001975335,136842
encryption,14,100KB file,20.8,0.4941387176513672,0.005898100000194972,136842
encryption,15,100KB file,8.3,0.4941387176513672,0.004634199998690747,136842
encryption,16,100KB file,4.5,0.4941387176513672,0.004213000000163447,136842
encryption,17,100KB file,3.8,0.4941387176513672,0.0049772999991546385,136842
encryption,18,100KB file,20.8,0.4941387176513672,0.004555100000288803,136842
encryption,19,100KB file,8.3,0.4941387176513672,0.004736899998533772,136842
encryption,20,100KB file,20.8,0.4941387176513672,0.004377500001282897,136842
encryption,21,100KB file,1.0,0.4941387176513672,0.00482209999972838,136842
encryption,22,100KB file,8.0,0.4941387176513672,0.0043191000004298985,136842
encryption,23,100KB file,11.1,0.4941387176513672,0.004469799998332746,136842
encryption,24,100KB file,14.3,0.4941387176513672,0.0050262999975529965,136842
encryption,25,100KB file,20.8,0.4941387176513672,0.004401799997140188,136842
encryption,26,100KB file,12.0,0.4941387176513672,0.005130300000018906,136842
encryption,27,100KB file,7.4,0.4941387176513672,0.004183500001090579,136842
encryption,28,100KB file,12.5,0.4941387176513672,0.0047150000027613714,136842
encryption,29,100KB file,7.4,0.4941387176513672,0.004371600000013132,136842
encryption,30,100KB file,16.7,0.4941387176513672,0.004459099996893201,136842
encryption,31,100KB file,1.0,0.4941387176513672,0.0050522999990789685,136842
encryption,32,100KB file,41.4,0.4941387176513672,0.0050115000012738165,136842
