operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,2MB file,12.5,8.032541275024414,0.04147699999884935,2796562
encryption,2,2MB file,68.6,8.008774757385254,0.09827230000155396,2796562
encryption,3,2MB file,32.3,8.008393287658691,0.04686220000075991,2796562
encryption,4,2MB file,20.7,8.00814151763916,0.057081499999185326,2796562
encryption,5,2MB file,45.8,8.00789737701416,0.04190860000016983,2796562
encryption,6,2MB file,45.8,8.007683753967285,0.055085200001485646,2796562
encryption,7,2MB file,68.0,8.00740909576416,0.04967640000177198,2796562
encryption,8,2MB file,29.6,8.006958961486816,0.04972199999974691,2796562
encryption,9,2MB file,57.7,8.006333351135254,0.05294119999962277,2796562
encryption,10,2MB file,20.0,8.006257057189941,0.04621259999839822,2796562
encryption,11,2MB file,33.3,8.006218910217285,0.05615290000059758,2796562
encryption,12,2MB file,39.4,8.006196022033691,0.06018519999997807,2796562
encryption,13,2MB file,54.2,8.006180763244629,0.05732179999904474,2796562
encryption,14,2MB file,38.5,8.006165504455566,0.04951159999836818,2796562
encryption,15,2MB file,29.2,8.006134986877441,0.053333500000007916,2796562
encryption,16,2MB file,52.0,8.006119728088379,0.04810670000006212,2796562
encryption,17,2MB file,12.0,8.006104469299316,0.04185750000033295,2796562
encryption,18,2MB file,28.0,8.006089210510254,0.05102679999981774,2796562
encryption,19,2MB file,13.3,8.006073951721191,0.03723500000342028,2796562
encryption,20,2MB file,14.3,8.006058692932129,0.03473239999948419,2796562
encryption,21,2MB file,21.2,8.006043434143066,0.04622479999670759,2796562
encryption,22,2MB file,16.0,8.006028175354004,0.03973309999855701,2796562
encryption,23,2MB file,24.0,8.006012916564941,0.041814799998974195,2796562
encryption,24,2MB file,48.0,8.00600528717041,0.0458494000013161,2796562
encryption,25,2MB file,51.5,8.005997657775879,0.061155700001108926,2796562
encryption,26,2MB file,46.9,8.005990028381348,0.05285840000215103,2796562
encryption,27,2MB file,50.0,8.005990028381348,0.04797119999784627,2796562
encryption,28,2MB file,48.4,8.005990028381348,0.04512179999801447,2796562
encryption,29,2MB file,15.4,8.005990028381348,0.0532180000009248,2796562
encryption,30,2MB file,48.0,8.005990028381348,0.046411999999691034,2796562
encryption,31,2MB file,33.3,8.005990028381348,0.04667440000048373,2796562
encryption,32,2MB file,65.4,8.005990028381348,0.0465600000025006,2796562
encryption,33,2MB file,32.0,8.005990028381348,0.056476500001735985,2796562
encryption,34,2MB file,33.3,8.005990028381348,0.04685510000126669,2796562
encryption,35,2MB file,4.2,8.005990028381348,0.045734100000117905,2796562
encryption,36,2MB file,28.0,8.005990028381348,0.04278840000188211,2796562
encryption,37,2MB file,30.8,8.005990028381348,0.04750659999990603,2796562
encryption,38,2MB file,42.3,8.005990028381348,0.03934850000223378,2796562
encryption,39,2MB file,10.7,8.005990028381348,0.048490299999684794,2796562
encryption,40,2MB file,29.2,8.005990028381348,0.04167999999845051,2796562
encryption,41,2MB file,10.3,8.005990028381348,0.03679769999871496,2796562
encryption,42,2MB file,53.3,8.005990028381348,0.04127660000085598,2796562
encryption,43,2MB file,38.7,8.005990028381348,0.04469940000126371,2796562
encryption,44,2MB file,39.3,8.005990028381348,0.05190500000026077,2796562
encryption,45,2MB file,25.0,8.005990028381348,0.04260749999957625,2796562
encryption,46,2MB file,79.2,8.005990028381348,0.04636010000103852,2796562
encryption,47,2MB file,42.4,8.005990028381348,0.04579880000164849,2796562
encryption,48,2MB file,50.0,8.005990028381348,0.04755519999889657,2796562
encryption,49,2MB file,45.8,8.005990028381348,0.050254099998710444,2796562
encryption,50,2MB file,25.0,8.005990028381348,0.0519285000009404,2796562
encryption,51,2MB file,30.8,8.005990028381348,0.06384279999838327,2796562
encryption,52,2MB file,4.2,8.005990028381348,0.039649400001508184,2796562
encryption,53,2MB file,27.6,8.005990028381348,0.0381785999998101,2796562
encryption,54,2MB file,40.0,8.005990028381348,0.048465899999428075,2796562
encryption,55,2MB file,20.0,8.005990028381348,0.046552099996915786,2796562
encryption,56,2MB file,4.2,8.005990028381348,0.05842340000162949,2796562
encryption,57,2MB file,12.5,8.005990028381348,0.05509729999903357,2796562
encryption,58,2MB file,60.0,8.005990028381348,0.049176999997143866,2796562
encryption,59,2MB file,37.5,8.005990028381348,0.05450090000158525,2796562
encryption,60,2MB file,37.5,8.005990028381348,0.048547999998845626,2796562
encryption,61,2MB file,25.0,8.005990028381348,0.043643799999699695,2796562
encryption,62,2MB file,13.3,8.005990028381348,0.04293370000232244,2796562
