operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,500KB file,3.1,2.477145195007324,0.01129679999939981,682962
encryption,2,500KB file,3.4,2.450031280517578,0.009229200000845594,682962
encryption,3,500KB file,42.3,2.4496498107910156,0.009060300002602162,682962
encryption,4,500KB file,6.5,2.4493980407714844,0.007838300000003073,682962
encryption,5,500KB file,4.2,2.4491539001464844,0.007809899998392211,682962
encryption,6,500KB file,6.7,2.4489402770996094,0.008213400000386173,682962
encryption,7,500KB file,33.3,2.4487266540527344,0.008882199999789009,682962
encryption,8,500KB file,4.2,2.447986602783203,0.010439000001497334,682962
encryption,9,500KB file,16.7,2.447589874267578,0.01004540000212728,682962
encryption,10,500KB file,4.2,2.4475135803222656,0.008339199997863034,682962
encryption,11,500KB file,20.8,2.4474754333496094,0.008129099998768652,682962
encryption,12,500KB file,4.2,2.4474525451660156,0.008795000001555309,682962
encryption,13,500KB file,3.7,2.447437286376953,0.008228800001234049,682962
encryption,14,500KB file,32.0,2.4474220275878906,0.007765599999402184,682962
encryption,15,500KB file,3.6,2.4473915100097656,0.007869000000937376,682962
encryption,16,500KB file,13.3,2.447376251220703,0.008816199999273522,682962
encryption,17,500KB file,65.4,2.4473609924316406,0.009683500000392087,682962
encryption,18,500KB file,4.2,2.447345733642578,0.008632100001705112,682962
encryption,19,500KB file,8.0,2.4473304748535156,0.007912600001873216,682962
encryption,20,500KB file,40.0,2.447315216064453,0.007914400001027388,682962
encryption,21,500KB file,8.3,2.4472999572753906,0.009278400000766851,682962
encryption,22,500KB file,54.2,2.447284698486328,0.008915599999454571,682962
encryption,23,500KB file,24.0,2.4472694396972656,0.00904660000014701,682962
encryption,24,500KB file,50.0,2.4472618103027344,0.008090300001640571,682962
encryption,25,500KB file,3.7,2.447254180908203,0.007772500001010485,682962
encryption,26,500KB file,78.6,2.447246551513672,0.014369700002134778,682962
encryption,27,500KB file,29.2,2.447246551513672,0.007802399999491172,682962
encryption,28,500KB file,1.0,2.447246551513672,0.00806880000163801,682962
encryption,29,500KB file,18.8,2.447246551513672,0.008539600003132364,682962
encryption,30,500KB file,11.5,2.447246551513672,0.008276100001239683,682962
encryption,31,500KB file,1.0,2.447246551513672,0.008201500000723172,682962
encryption,32,500KB file,21.4,2.447246551513672,0.007867399999668123,682962
encryption,33,500KB file,1.0,2.447246551513672,0.008429900000919588,682962
encryption,34,500KB file,20.0,2.447246551513672,0.008462300000246614,682962
encryption,35,500KB file,4.0,2.447246551513672,0.007940300001791911,682962
encryption,36,500KB file,32.0,2.447246551513672,0.007775400001264643,682962
encryption,37,500KB file,1.0,2.447246551513672,0.008362699998542666,682962
encryption,38,500KB file,28.1,2.447246551513672,0.008000999998330371,682962
encryption,39,500KB file,3.4,2.447246551513672,0.007824399999663001,682962
encryption,40,500KB file,29.6,2.447246551513672,0.007847799999581184,682962
encryption,41,500KB file,1.0,2.447246551513672,0.008080599996901583,682962
encryption,42,500KB file,23.1,2.447246551513672,0.008433399998466484,682962
encryption,43,500KB file,8.0,2.447246551513672,0.007910099997388897,682962
encryption,44,500KB file,40.0,2.447246551513672,0.007908999999926891,682962
encryption,45,500KB file,1.0,2.447246551513672,0.0076763999968534335,682962
encryption,46,500KB file,34.6,2.447246551513672,0.00855529999898863,682962
encryption,47,500KB file,1.0,2.447246551513672,0.008550099999411032,682962
encryption,48,500KB file,37.9,2.447246551513672,0.007861499998398358,682962
encryption,49,500KB file,3.4,2.447246551513672,0.00784909999856609,682962
encryption,50,500KB file,81.2,2.447246551513672,0.008441300000413321,682962
encryption,51,500KB file,100.0,2.447246551513672,0.045054599999275524,682962
encryption,52,500KB file,100.0,2.447246551513672,0.0319435000019439,682962
encryption,53,500KB file,74.2,2.447246551513672,0.0218209000013303,682962
encryption,54,500KB file,28.0,2.447246551513672,0.012850999999500345,682962
encryption,55,500KB file,8.0,2.447246551513672,0.00878510000256938,682962
encryption,56,500KB file,12.5,2.447246551513672,0.009379800001624972,682962
encryption,57,500KB file,48.0,2.447246551513672,0.007917099999758648,682962
encryption,58,500KB file,11.5,2.447246551513672,0.012277700003323844,682962
encryption,59,500KB file,84.0,2.447246551513672,0.009636400001909351,682962
encryption,60,500KB file,56.2,2.447246551513672,0.01421180000033928,682962
encryption,61,500KB file,76.7,2.447246551513672,0.027689700000337325,682962
encryption,62,500KB file,91.7,2.447246551513672,0.016565899997658562,682962
encryption,63,500KB file,84.0,2.447246551513672,0.029042399997706525,682962
encryption,64,500KB file,100.0,2.447246551513672,0.021598200000880752,682962
encryption,65,500KB file,94.9,2.447246551513672,0.03140709999934188,682962
encryption,66,500KB file,87.5,2.447246551513672,0.02932660000078613,682962
encryption,67,500KB file,100.0,2.447246551513672,0.019061699997109827,682962
encryption,68,500KB file,91.7,2.447246551513672,0.015880599999945844,682962
encryption,69,500KB file,34.6,2.447246551513672,0.017467199999373406,682962
encryption,70,500KB file,84.8,2.447246551513672,0.014574500000890112,682962
encryption,71,500KB file,50.0,2.447246551513672,0.017295100002229447,682962
encryption,72,500KB file,70.8,2.447246551513672,0.01862260000052629,682962
encryption,73,500KB file,58.3,2.447246551513672,0.01675989999785088,682962
encryption,74,500KB file,92.3,2.447246551513672,0.0177246000021114,682962
encryption,75,500KB file,53.1,2.447246551513672,0.029202199999417644,682962
encryption,76,500KB file,87.5,2.447246551513672,0.08239999999932479,682962
encryption,77,500KB file,41.7,2.447246551513672,0.03085300000020652,682962
encryption,78,500KB file,76.0,2.447246551513672,0.02790610000010929,682962
encryption,79,500KB file,26.7,2.447246551513672,0.019998300002043834,682962
encryption,80,500KB file,20.8,2.447246551513672,0.015941099998599384,682962
encryption,81,500KB file,61.5,2.447246551513672,0.017138700000941753,682962
encryption,82,500KB file,50.0,2.447246551513672,0.01537810000081663,682962
encryption,83,500KB file,16.7,2.447246551513672,0.014245599999412661,682962
encryption,84,500KB file,36.0,2.447246551513672,0.015392000001156703,682962
encryption,85,500KB file,80.8,2.447246551513672,0.016928499997447943,682962
